t1,t2,f1,f2,E
13.4,13.5,300.0,350.0,0.0006875944573858139
21.900000000000002,22.0,140.0,190.0,0.0006875497541363572
16.0,16.1,300.0,350.0,0.0006617354816910532
12.100000000000001,12.200000000000001,380.0,430.0,0.0006415042040765534
25.5,25.6,300.0,350.0,0.0006394041351095987
2.4000000000000004,2.5,300.0,350.0,0.0006358227307994654
8.1,8.200000000000001,320.0,370.0,0.000632275805095633
16.5,16.6,300.0,350.0,0.0006260862508958195
9.200000000000001,9.3,380.0,430.0,0.0006200554396929867
6.4,6.5,280.0,330.0,0.0005886037530589769
3.7,3.8000000000000003,440.0,490.0,0.0005597814706947576
13.100000000000001,13.200000000000001,380.0,430.0,0.0005566619064276821
16.400000000000002,16.5,300.0,350.0,0.0005369868212645528
28.6,28.700000000000003,320.0,370.0,0.000532811869043535
20.6,20.700000000000003,320.0,370.0,0.0005294773098326212
22.900000000000002,23.0,320.0,370.0,0.0005275476479307713
18.2,18.3,320.0,370.0,0.0005103586457872526
17.1,17.2,320.0,370.0,0.0004959554517852249
17.7,17.8,300.0,350.0,0.000488631421633266
9.3,9.4,380.0,430.0,0.0004459656131323657
30.3,30.400000000000002,320.0,370.0,0.0004300423023081691
18.1,18.2,320.0,370.0,0.00042843562078401644
20.400000000000002,20.5,240.0,290.0,0.0004228492987249512
2.5,2.6,440.0,490.0,0.00040025811317848315
22.6,22.700000000000003,140.0,190.0,0.0003853033239957876
28.900000000000002,29.0,320.0,370.0,0.00037183933597400556
12.200000000000001,12.3,380.0,430.0,0.00037037137095447605
13.200000000000001,13.3,380.0,430.0,0.0003663217753024002
7.9,8.0,280.0,330.0,0.0003549503640438388
12.5,12.600000000000001,300.0,350.0,0.0003368289458511083
5.6000000000000005,5.7,320.0,370.0,0.00032801415935763425
28.700000000000003,28.8,440.0,490.0,0.00029949599679527874
15.8,15.9,320.0,370.0,0.0002877929066720462
20.5,20.6,140.0,190.0,0.00027776581643824966
7.300000000000001,7.4,140.0,190.0,0.0002689756465100208
28.8,28.900000000000002,440.0,490.0,0.0002482094293981263
4.6000000000000005,4.7,300.0,350.0,0.00024536853590644356
27.0,27.1,320.0,370.0,0.00024201913492614846
15.9,16.0,240.0,290.0,0.00024046723074300726
12.3,12.4,380.0,430.0,0.00023238499961499321
17.900000000000002,18.0,280.0,330.0,0.00022629030182450569
13.600000000000001,13.700000000000001,300.0,350.0,0.0002156981799396241
